Date,regime
2018-06-20,Crisis
2018-06-21,Crisis
2018-06-22,Crisis
2018-06-25,Crisis
2018-06-26,Crisis
2018-06-27,Crisis
2018-06-28,Crisis
2018-06-29,Crisis
2018-07-02,Crisis
2018-07-03,Crisis
2018-07-06,Crisis
2018-07-09,Crisis
2018-07-10,Crisis
2018-07-11,Crisis
2018-07-12,Crisis
2018-07-13,Crisis
2018-07-16,Crisis
2018-07-17,Crisis
2018-07-18,Crisis
2018-07-19,Crisis
2018-07-20,Crisis
2018-07-23,Crisis
2018-07-24,Crisis
2018-07-25,Crisis
2018-07-26,Crisis
2018-07-27,Crisis
2018-07-30,Crisis
2018-07-31,Crisis
2018-08-01,Crisis
2018-08-02,Crisis
2018-08-03,Crisis
2018-08-06,Crisis
2018-08-07,Crisis
2018-08-08,Crisis
2018-08-09,Crisis
2018-08-10,Crisis
2018-08-13,Crisis
2018-08-14,Crisis
2018-08-17,Crisis
2018-08-20,Crisis
2018-08-21,Crisis
2018-08-24,Crisis
2018-08-27,Crisis
2018-08-28,Crisis
2018-08-29,Crisis
2018-08-30,Crisis
2018-08-31,Crisis
2018-09-05,Crisis
2018-09-06,Crisis
2018-09-07,Crisis
2018-09-10,Crisis
2018-09-11,Crisis
2018-09-12,Crisis
2018-09-17,Crisis
2018-09-18,Crisis
2018-09-19,Crisis
2018-09-24,Crisis
2018-09-25,Crisis
2018-09-26,Crisis
2018-09-27,Crisis
2018-09-28,Crisis
2018-10-01,Crisis
2018-10-04,Crisis
2018-10-05,Crisis
2018-10-08,Crisis
2018-10-09,Crisis
2018-10-10,Crisis
2018-10-11,Crisis
2018-10-12,Crisis
2018-10-15,Crisis
2018-10-16,Crisis
2018-10-17,Crisis
2018-10-22,Crisis
2018-10-23,Crisis
2018-10-24,Crisis
2018-10-25,Crisis
2018-10-26,Crisis
2018-10-29,Crisis
2018-10-30,Crisis
2018-10-31,Crisis
2018-11-01,Crisis
2018-11-02,Crisis
2018-11-05,Crisis
2018-11-06,Crisis
2018-11-07,Crisis
2018-11-12,Crisis
2018-11-13,Crisis
2018-11-14,Crisis
2018-11-15,Crisis
2018-11-16,Crisis
2018-11-19,Crisis
2018-11-20,Crisis
2018-11-21,Crisis
2018-11-27,Crisis
2018-11-28,Crisis
2018-11-29,Crisis
2018-11-30,Crisis
2018-12-03,Crisis
2018-12-04,Crisis
2018-12-07,Crisis
2018-12-10,Crisis
2018-12-11,Crisis
2018-12-12,Crisis
2018-12-13,Crisis
2018-12-14,Crisis
2018-12-17,Crisis
2018-12-18,Crisis
2018-12-19,Crisis
2018-12-20,Crisis
2018-12-21,Crisis
2018-12-24,Crisis
2018-12-26,Crisis
2018-12-27,Crisis
2018-12-28,Crisis
2018-12-31,Crisis
2019-01-02,Crisis
2019-01-03,Crisis
2019-01-04,Crisis
2019-01-07,Crisis
2019-01-08,Crisis
2019-01-09,Crisis
2019-01-10,Crisis
2019-01-11,Crisis
2019-01-14,Crisis
2019-01-15,Crisis
2019-01-16,Crisis
2019-01-17,Crisis
2019-01-18,Crisis
2019-01-23,Crisis
2019-01-24,Crisis
2019-01-25,Crisis
2019-01-28,Crisis
2019-01-29,Crisis
2019-01-30,Crisis
2019-01-31,Crisis
2019-02-01,Crisis
2019-02-04,Crisis
2019-02-05,Crisis
2019-02-06,Crisis
2019-02-07,Bull
2019-02-08,Bull
2019-02-11,Bull
2019-02-12,Bull
2019-02-15,Bull
2019-02-20,Bull
2019-02-21,Bull
2019-02-22,Bull
2019-02-25,Bull
2019-02-26,Bull
2019-02-27,Bull
2019-02-28,Bull
2019-03-01,Bull
2019-03-06,Bull
2019-03-07,Bull
2019-03-08,Bull
